18-Oct-2022 14:20:05 Start of calculation the curve OFDM_PAPR_Type1_64QAM (3 of 15).
18-Oct-2022 14:20:05   Start of the main calculations.
18-Oct-2022 14:20:12     NumSam =    2851200; NumFr =    100; NumBits =    5737600; PAPR = 9.00; Prob = 0.000360 =       1026/   2851200.
18-Oct-2022 14:20:17     NumSam =    5702400; NumFr =    200; NumBits =   11475200; PAPR = 9.30; Prob = 0.000207 =       1178/   5702400.
18-Oct-2022 14:20:21     NumSam =    8553600; NumFr =    300; NumBits =   17212800; PAPR = 9.50; Prob = 0.000135 =       1159/   8553600.
18-Oct-2022 14:20:26     NumSam =   11404800; NumFr =    400; NumBits =   22950400; PAPR = 9.60; Prob = 0.000107 =       1223/  11404800.
18-Oct-2022 14:20:30     NumSam =   14256000; NumFr =    500; NumBits =   28688000; PAPR = 9.80; Prob = 0.000072 =       1026/  14256000.
18-Oct-2022 14:20:35     NumSam =   17107200; NumFr =    600; NumBits =   34425600; PAPR = 9.80; Prob = 0.000072 =       1232/  17107200.
18-Oct-2022 14:20:39     NumSam =   19958400; NumFr =    700; NumBits =   40163200; PAPR = 9.90; Prob = 0.000058 =       1163/  19958400.
18-Oct-2022 14:20:44     NumSam =   22809600; NumFr =    800; NumBits =   45900800; PAPR = 10.00; Prob = 0.000046 =       1050/  22809600.
18-Oct-2022 14:20:48     NumSam =   25660800; NumFr =    900; NumBits =   51638400; PAPR = 10.00; Prob = 0.000045 =       1155/  25660800.
18-Oct-2022 14:20:53     NumSam =   28512000; NumFr =   1000; NumBits =   57376000; PAPR = 10.10; Prob = 0.000036 =       1027/  28512000.
18-Oct-2022 14:20:57     NumSam =   31363200; NumFr =   1100; NumBits =   63113600; PAPR = 10.10; Prob = 0.000036 =       1119/  31363200.
18-Oct-2022 14:21:02     NumSam =   34214400; NumFr =   1200; NumBits =   68851200; PAPR = 10.10; Prob = 0.000036 =       1228/  34214400.
18-Oct-2022 14:21:06     NumSam =   37065600; NumFr =   1300; NumBits =   74588800; PAPR = 10.20; Prob = 0.000028 =       1028/  37065600.
18-Oct-2022 14:21:11     NumSam =   39916800; NumFr =   1400; NumBits =   80326400; PAPR = 10.20; Prob = 0.000028 =       1101/  39916800.
18-Oct-2022 14:21:15     NumSam =   42768000; NumFr =   1500; NumBits =   86064000; PAPR = 10.20; Prob = 0.000027 =       1172/  42768000.
18-Oct-2022 14:21:20     NumSam =   45619200; NumFr =   1600; NumBits =   91801600; PAPR = 10.20; Prob = 0.000027 =       1250/  45619200.
18-Oct-2022 14:21:24     NumSam =   48470400; NumFr =   1700; NumBits =   97539200; PAPR = 10.30; Prob = 0.000021 =       1036/  48470400.
18-Oct-2022 14:21:29     NumSam =   51321600; NumFr =   1800; NumBits =  103276800; PAPR = 10.30; Prob = 0.000021 =       1101/  51321600.
18-Oct-2022 14:21:33     NumSam =   54172800; NumFr =   1900; NumBits =  109014400; PAPR = 10.30; Prob = 0.000021 =       1162/  54172800.
