18-Oct-2022 14:11:38 Start of calculation the curve OFDM_PAPR_Type1__QPSK (1 of 15).
18-Oct-2022 14:11:38   Start of the main calculations.
18-Oct-2022 14:14:13     NumSam =    2851200; NumFr =    100; NumBits =    1178400; PAPR = 8.90; Prob = 0.000401 =       1144/   2851200.
18-Oct-2022 14:14:18     NumSam =    5702400; NumFr =    200; NumBits =    2356800; PAPR = 9.30; Prob = 0.000191 =       1088/   5702400.
18-Oct-2022 14:14:22     NumSam =    8553600; NumFr =    300; NumBits =    3535200; PAPR = 9.50; Prob = 0.000131 =       1118/   8553600.
18-Oct-2022 14:14:27     NumSam =   11404800; NumFr =    400; NumBits =    4713600; PAPR = 9.70; Prob = 0.000090 =       1030/  11404800.
18-Oct-2022 14:14:31     NumSam =   14256000; NumFr =    500; NumBits =    5892000; PAPR = 9.80; Prob = 0.000070 =       1004/  14256000.
18-Oct-2022 14:14:35     NumSam =   17107200; NumFr =    600; NumBits =    7070400; PAPR = 9.80; Prob = 0.000070 =       1200/  17107200.
18-Oct-2022 14:14:40     NumSam =   19958400; NumFr =    700; NumBits =    8248800; PAPR = 9.90; Prob = 0.000055 =       1102/  19958400.
18-Oct-2022 14:14:44     NumSam =   22809600; NumFr =    800; NumBits =    9427200; PAPR = 9.90; Prob = 0.000055 =       1259/  22809600.
18-Oct-2022 14:14:48     NumSam =   25660800; NumFr =    900; NumBits =   10605600; PAPR = 10.00; Prob = 0.000042 =       1087/  25660800.
18-Oct-2022 14:14:53     NumSam =   28512000; NumFr =   1000; NumBits =   11784000; PAPR = 10.00; Prob = 0.000042 =       1199/  28512000.
18-Oct-2022 14:14:58     NumSam =   31363200; NumFr =   1100; NumBits =   12962400; PAPR = 10.10; Prob = 0.000034 =       1054/  31363200.
18-Oct-2022 14:15:02     NumSam =   34214400; NumFr =   1200; NumBits =   14140800; PAPR = 10.10; Prob = 0.000033 =       1145/  34214400.
18-Oct-2022 14:15:06     NumSam =   37065600; NumFr =   1300; NumBits =   15319200; PAPR = 10.10; Prob = 0.000034 =       1262/  37065600.
18-Oct-2022 14:15:11     NumSam =   39916800; NumFr =   1400; NumBits =   16497600; PAPR = 10.20; Prob = 0.000027 =       1078/  39916800.
18-Oct-2022 14:15:15     NumSam =   42768000; NumFr =   1500; NumBits =   17676000; PAPR = 10.20; Prob = 0.000027 =       1162/  42768000.
18-Oct-2022 14:15:19     NumSam =   45619200; NumFr =   1600; NumBits =   18854400; PAPR = 10.20; Prob = 0.000027 =       1245/  45619200.
18-Oct-2022 14:15:23     NumSam =   48470400; NumFr =   1700; NumBits =   20032800; PAPR = 10.30; Prob = 0.000021 =       1042/  48470400.
18-Oct-2022 14:15:27     NumSam =   51321600; NumFr =   1800; NumBits =   21211200; PAPR = 10.30; Prob = 0.000022 =       1105/  51321600.
18-Oct-2022 14:15:32     NumSam =   54172800; NumFr =   1900; NumBits =   22389600; PAPR = 10.30; Prob = 0.000022 =       1168/  54172800.
18-Oct-2022 14:15:36     NumSam =   57024000; NumFr =   2000; NumBits =   23568000; PAPR = 10.30; Prob = 0.000021 =       1215/  57024000.
18-Oct-2022 14:15:40     NumSam =   59875200; NumFr =   2100; NumBits =   24746400; PAPR = 10.40; Prob = 0.000017 =       1021/  59875200.
18-Oct-2022 14:15:44     NumSam =   62726400; NumFr =   2200; NumBits =   25924800; PAPR = 10.40; Prob = 0.000017 =       1058/  62726400.
18-Oct-2022 14:15:49     NumSam =   65577600; NumFr =   2300; NumBits =   27103200; PAPR = 10.40; Prob = 0.000017 =       1095/  65577600.
18-Oct-2022 14:15:53     NumSam =   68428800; NumFr =   2400; NumBits =   28281600; PAPR = 10.40; Prob = 0.000017 =       1142/  68428800.
18-Oct-2022 14:15:57     NumSam =   71280000; NumFr =   2500; NumBits =   29460000; PAPR = 10.40; Prob = 0.000017 =       1192/  71280000.
18-Oct-2022 14:16:01     NumSam =   74131200; NumFr =   2600; NumBits =   30638400; PAPR = 10.40; Prob = 0.000017 =       1244/  74131200.
18-Oct-2022 14:16:06     NumSam =   76982400; NumFr =   2700; NumBits =   31816800; PAPR = 10.40; Prob = 0.000017 =       1287/  76982400.
18-Oct-2022 14:16:10     NumSam =   79833600; NumFr =   2800; NumBits =   32995200; PAPR = 10.50; Prob = 0.000013 =       1030/  79833600.
18-Oct-2022 14:16:14     NumSam =   82684800; NumFr =   2900; NumBits =   34173600; PAPR = 10.50; Prob = 0.000013 =       1070/  82684800.
18-Oct-2022 14:16:18     NumSam =   85536000; NumFr =   3000; NumBits =   35352000; PAPR = 10.50; Prob = 0.000013 =       1105/  85536000.
18-Oct-2022 14:16:23     NumSam =   88387200; NumFr =   3100; NumBits =   36530400; PAPR = 10.50; Prob = 0.000013 =       1147/  88387200.
18-Oct-2022 14:16:27     NumSam =   91238400; NumFr =   3200; NumBits =   37708800; PAPR = 10.50; Prob = 0.000013 =       1187/  91238400.
18-Oct-2022 14:16:31     NumSam =   94089600; NumFr =   3300; NumBits =   38887200; PAPR = 10.50; Prob = 0.000013 =       1224/  94089600.
18-Oct-2022 14:16:35     NumSam =   96940800; NumFr =   3400; NumBits =   40065600; PAPR = 10.50; Prob = 0.000013 =       1253/  96940800.
18-Oct-2022 14:16:39     NumSam =   99792000; NumFr =   3500; NumBits =   41244000; PAPR = 10.50; Prob = 0.000013 =       1290/  99792000.
18-Oct-2022 14:16:43     NumSam =  102643200; NumFr =   3600; NumBits =   42422400; PAPR = 10.60; Prob = 0.000010 =       1011/ 102643200. Completed.
