18-Oct-2022 14:35:19 Start of calculation the curve OFDM_PAPR_Type2_64QAM (6 of 15).
18-Oct-2022 14:35:19   Start of the main calculations.
18-Oct-2022 14:35:26     NumSam =       1300; NumFr =    100; NumBits =    5737600; PAPR = 8.50; Prob = 0.806154 =       1048/      1300.
18-Oct-2022 14:35:30     NumSam =       2600; NumFr =    200; NumBits =   11475200; PAPR = 9.20; Prob = 0.396154 =       1030/      2600.
18-Oct-2022 14:35:34     NumSam =       3900; NumFr =    300; NumBits =   17212800; PAPR = 9.40; Prob = 0.290513 =       1133/      3900.
18-Oct-2022 14:35:39     NumSam =       5200; NumFr =    400; NumBits =   22950400; PAPR = 9.60; Prob = 0.198846 =       1034/      5200.
18-Oct-2022 14:35:43     NumSam =       6500; NumFr =    500; NumBits =   28688000; PAPR = 9.70; Prob = 0.165077 =       1073/      6500.
18-Oct-2022 14:35:47     NumSam =       7800; NumFr =    600; NumBits =   34425600; PAPR = 9.80; Prob = 0.136923 =       1068/      7800.
18-Oct-2022 14:35:52     NumSam =       9100; NumFr =    700; NumBits =   40163200; PAPR = 9.90; Prob = 0.113626 =       1034/      9100.
18-Oct-2022 14:35:56     NumSam =      10400; NumFr =    800; NumBits =   45900800; PAPR = 9.90; Prob = 0.113077 =       1176/     10400.
18-Oct-2022 14:36:00     NumSam =      11700; NumFr =    900; NumBits =   51638400; PAPR = 10.00; Prob = 0.089231 =       1044/     11700.
18-Oct-2022 14:36:04     NumSam =      13000; NumFr =   1000; NumBits =   57376000; PAPR = 10.00; Prob = 0.088923 =       1156/     13000.
18-Oct-2022 14:36:09     NumSam =      14300; NumFr =   1100; NumBits =   63113600; PAPR = 10.10; Prob = 0.071259 =       1019/     14300.
18-Oct-2022 14:36:13     NumSam =      15600; NumFr =   1200; NumBits =   68851200; PAPR = 10.10; Prob = 0.071603 =       1117/     15600.
18-Oct-2022 14:36:17     NumSam =      16900; NumFr =   1300; NumBits =   74588800; PAPR = 10.10; Prob = 0.071065 =       1201/     16900.
18-Oct-2022 14:36:22     NumSam =      18200; NumFr =   1400; NumBits =   80326400; PAPR = 10.20; Prob = 0.055604 =       1012/     18200.
18-Oct-2022 14:36:26     NumSam =      19500; NumFr =   1500; NumBits =   86064000; PAPR = 10.20; Prob = 0.054872 =       1070/     19500.
18-Oct-2022 14:36:30     NumSam =      20800; NumFr =   1600; NumBits =   91801600; PAPR = 10.20; Prob = 0.054808 =       1140/     20800.
18-Oct-2022 14:36:35     NumSam =      22100; NumFr =   1700; NumBits =   97539200; PAPR = 10.20; Prob = 0.055023 =       1216/     22100.
18-Oct-2022 14:36:39     NumSam =      23400; NumFr =   1800; NumBits =  103276800; PAPR = 10.30; Prob = 0.042991 =       1006/     23400.
18-Oct-2022 14:36:43     NumSam =      24700; NumFr =   1900; NumBits =  109014400; PAPR = 10.30; Prob = 0.042915 =       1060/     24700.
18-Oct-2022 14:36:48     NumSam =      26000; NumFr =   2000; NumBits =  114752000; PAPR = 10.30; Prob = 0.043192 =       1123/     26000.
18-Oct-2022 14:36:52     NumSam =      27300; NumFr =   2100; NumBits =  120489600; PAPR = 10.30; Prob = 0.043993 =       1201/     27300.
18-Oct-2022 14:36:56     NumSam =      28600; NumFr =   2200; NumBits =  126227200; PAPR = 10.30; Prob = 0.044091 =       1261/     28600.
18-Oct-2022 14:37:01     NumSam =      29900; NumFr =   2300; NumBits =  131964800; PAPR = 10.40; Prob = 0.034214 =       1023/     29900.
18-Oct-2022 14:37:05     NumSam =      31200; NumFr =   2400; NumBits =  137702400; PAPR = 10.40; Prob = 0.034423 =       1074/     31200.
18-Oct-2022 14:37:09     NumSam =      32500; NumFr =   2500; NumBits =  143440000; PAPR = 10.40; Prob = 0.034308 =       1115/     32500.
18-Oct-2022 14:37:14     NumSam =      33800; NumFr =   2600; NumBits =  149177600; PAPR = 10.40; Prob = 0.034467 =       1165/     33800.
18-Oct-2022 14:37:18     NumSam =      35100; NumFr =   2700; NumBits =  154915200; PAPR = 10.40; Prob = 0.034416 =       1208/     35100.
18-Oct-2022 14:37:23     NumSam =      36400; NumFr =   2800; NumBits =  160652800; PAPR = 10.40; Prob = 0.034505 =       1256/     36400.
18-Oct-2022 14:37:27     NumSam =      37700; NumFr =   2900; NumBits =  166390400; PAPR = 10.50; Prob = 0.026684 =       1006/     37700.
18-Oct-2022 14:37:31     NumSam =      39000; NumFr =   3000; NumBits =  172128000; PAPR = 10.50; Prob = 0.026692 =       1041/     39000.
18-Oct-2022 14:37:35     NumSam =      40300; NumFr =   3100; NumBits =  177865600; PAPR = 10.50; Prob = 0.026650 =       1074/     40300.
18-Oct-2022 14:37:40     NumSam =      41600; NumFr =   3200; NumBits =  183603200; PAPR = 10.50; Prob = 0.026707 =       1111/     41600.
18-Oct-2022 14:37:44     NumSam =      42900; NumFr =   3300; NumBits =  189340800; PAPR = 10.50; Prob = 0.026690 =       1145/     42900.
18-Oct-2022 14:37:49     NumSam =      44200; NumFr =   3400; NumBits =  195078400; PAPR = 10.50; Prob = 0.026697 =       1180/     44200.
18-Oct-2022 14:37:54     NumSam =      45500; NumFr =   3500; NumBits =  200816000; PAPR = 10.50; Prob = 0.026747 =       1217/     45500.
18-Oct-2022 14:37:58     NumSam =      46800; NumFr =   3600; NumBits =  206553600; PAPR = 10.50; Prob = 0.026923 =       1260/     46800.
18-Oct-2022 14:38:03     NumSam =      48100; NumFr =   3700; NumBits =  212291200; PAPR = 10.60; Prob = 0.020832 =       1002/     48100.
18-Oct-2022 14:38:07     NumSam =      49400; NumFr =   3800; NumBits =  218028800; PAPR = 10.60; Prob = 0.020972 =       1036/     49400.
18-Oct-2022 14:38:11     NumSam =      50700; NumFr =   3900; NumBits =  223766400; PAPR = 10.60; Prob = 0.021026 =       1066/     50700.
