18-Oct-2022 14:23:26 Start of calculation the curve OFDM_PAPR_Type2__QPSK (4 of 15).
18-Oct-2022 14:23:26   Start of the main calculations.
18-Oct-2022 14:23:32     NumSam =       1300; NumFr =    100; NumBits =    1178400; PAPR = 8.60; Prob = 0.773846 =       1006/      1300.
18-Oct-2022 14:23:36     NumSam =       2600; NumFr =    200; NumBits =    2356800; PAPR = 9.10; Prob = 0.429231 =       1116/      2600.
18-Oct-2022 14:23:40     NumSam =       3900; NumFr =    300; NumBits =    3535200; PAPR = 9.40; Prob = 0.281795 =       1099/      3900.
18-Oct-2022 14:23:44     NumSam =       5200; NumFr =    400; NumBits =    4713600; PAPR = 9.60; Prob = 0.204231 =       1062/      5200.
18-Oct-2022 14:23:48     NumSam =       6500; NumFr =    500; NumBits =    5892000; PAPR = 9.70; Prob = 0.165846 =       1078/      6500.
18-Oct-2022 14:23:52     NumSam =       7800; NumFr =    600; NumBits =    7070400; PAPR = 9.80; Prob = 0.134103 =       1046/      7800.
18-Oct-2022 14:23:56     NumSam =       9100; NumFr =    700; NumBits =    8248800; PAPR = 9.80; Prob = 0.132857 =       1209/      9100.
18-Oct-2022 14:24:00     NumSam =      10400; NumFr =    800; NumBits =    9427200; PAPR = 9.90; Prob = 0.106538 =       1108/     10400.
18-Oct-2022 14:24:04     NumSam =      11700; NumFr =    900; NumBits =   10605600; PAPR = 9.90; Prob = 0.105812 =       1238/     11700.
18-Oct-2022 14:24:08     NumSam =      13000; NumFr =   1000; NumBits =   11784000; PAPR = 10.00; Prob = 0.083846 =       1090/     13000.
18-Oct-2022 14:24:12     NumSam =      14300; NumFr =   1100; NumBits =   12962400; PAPR = 10.00; Prob = 0.085245 =       1219/     14300.
18-Oct-2022 14:24:16     NumSam =      15600; NumFr =   1200; NumBits =   14140800; PAPR = 10.10; Prob = 0.066474 =       1037/     15600.
18-Oct-2022 14:24:20     NumSam =      16900; NumFr =   1300; NumBits =   15319200; PAPR = 10.10; Prob = 0.067574 =       1142/     16900.
18-Oct-2022 14:24:24     NumSam =      18200; NumFr =   1400; NumBits =   16497600; PAPR = 10.10; Prob = 0.068132 =       1240/     18200.
18-Oct-2022 14:24:28     NumSam =      19500; NumFr =   1500; NumBits =   17676000; PAPR = 10.20; Prob = 0.054615 =       1065/     19500.
18-Oct-2022 14:24:32     NumSam =      20800; NumFr =   1600; NumBits =   18854400; PAPR = 10.20; Prob = 0.054663 =       1137/     20800.
18-Oct-2022 14:24:36     NumSam =      22100; NumFr =   1700; NumBits =   20032800; PAPR = 10.20; Prob = 0.055294 =       1222/     22100.
18-Oct-2022 14:24:40     NumSam =      23400; NumFr =   1800; NumBits =   21211200; PAPR = 10.30; Prob = 0.043504 =       1018/     23400.
18-Oct-2022 14:24:44     NumSam =      24700; NumFr =   1900; NumBits =   22389600; PAPR = 10.30; Prob = 0.043563 =       1076/     24700.
18-Oct-2022 14:24:48     NumSam =      26000; NumFr =   2000; NumBits =   23568000; PAPR = 10.30; Prob = 0.042962 =       1117/     26000.
18-Oct-2022 14:24:52     NumSam =      27300; NumFr =   2100; NumBits =   24746400; PAPR = 10.30; Prob = 0.042784 =       1168/     27300.
18-Oct-2022 14:24:56     NumSam =      28600; NumFr =   2200; NumBits =   25924800; PAPR = 10.30; Prob = 0.042378 =       1212/     28600.
18-Oct-2022 14:25:00     NumSam =      29900; NumFr =   2300; NumBits =   27103200; PAPR = 10.40; Prob = 0.033846 =       1012/     29900.
18-Oct-2022 14:25:04     NumSam =      31200; NumFr =   2400; NumBits =   28281600; PAPR = 10.40; Prob = 0.033846 =       1056/     31200.
18-Oct-2022 14:25:08     NumSam =      32500; NumFr =   2500; NumBits =   29460000; PAPR = 10.40; Prob = 0.033785 =       1098/     32500.
18-Oct-2022 14:25:12     NumSam =      33800; NumFr =   2600; NumBits =   30638400; PAPR = 10.40; Prob = 0.033846 =       1144/     33800.
18-Oct-2022 14:25:16     NumSam =      35100; NumFr =   2700; NumBits =   31816800; PAPR = 10.40; Prob = 0.033704 =       1183/     35100.
18-Oct-2022 14:25:20     NumSam =      36400; NumFr =   2800; NumBits =   32995200; PAPR = 10.40; Prob = 0.034011 =       1238/     36400.
18-Oct-2022 14:25:24     NumSam =      37700; NumFr =   2900; NumBits =   34173600; PAPR = 10.40; Prob = 0.033979 =       1281/     37700.
18-Oct-2022 14:25:28     NumSam =      39000; NumFr =   3000; NumBits =   35352000; PAPR = 10.50; Prob = 0.026026 =       1015/     39000.
18-Oct-2022 14:25:32     NumSam =      40300; NumFr =   3100; NumBits =   36530400; PAPR = 10.50; Prob = 0.026154 =       1054/     40300.
18-Oct-2022 14:25:36     NumSam =      41600; NumFr =   3200; NumBits =   37708800; PAPR = 10.50; Prob = 0.026202 =       1090/     41600.
18-Oct-2022 14:25:40     NumSam =      42900; NumFr =   3300; NumBits =   38887200; PAPR = 10.50; Prob = 0.026200 =       1124/     42900.
18-Oct-2022 14:25:44     NumSam =      44200; NumFr =   3400; NumBits =   40065600; PAPR = 10.50; Prob = 0.026041 =       1151/     44200.
18-Oct-2022 14:25:48     NumSam =      45500; NumFr =   3500; NumBits =   41244000; PAPR = 10.50; Prob = 0.026088 =       1187/     45500.
18-Oct-2022 14:25:52     NumSam =      46800; NumFr =   3600; NumBits =   42422400; PAPR = 10.50; Prob = 0.026026 =       1218/     46800.
18-Oct-2022 14:25:56     NumSam =      48100; NumFr =   3700; NumBits =   43600800; PAPR = 10.50; Prob = 0.025967 =       1249/     48100.
18-Oct-2022 14:26:00     NumSam =      49400; NumFr =   3800; NumBits =   44779200; PAPR = 10.50; Prob = 0.025911 =       1280/     49400.
18-Oct-2022 14:26:04     NumSam =      50700; NumFr =   3900; NumBits =   45957600; PAPR = 10.60; Prob = 0.020000 =       1014/     50700.
18-Oct-2022 14:26:08     NumSam =      52000; NumFr =   4000; NumBits =   47136000; PAPR = 10.60; Prob = 0.020019 =       1041/     52000.
18-Oct-2022 14:26:12     NumSam =      53300; NumFr =   4100; NumBits =   48314400; PAPR = 10.60; Prob = 0.019944 =       1063/     53300.
18-Oct-2022 14:26:16     NumSam =      54600; NumFr =   4200; NumBits =   49492800; PAPR = 10.60; Prob = 0.019853 =       1084/     54600.
18-Oct-2022 14:26:20     NumSam =      55900; NumFr =   4300; NumBits =   50671200; PAPR = 10.60; Prob = 0.019714 =       1102/     55900.
18-Oct-2022 14:26:24     NumSam =      57200; NumFr =   4400; NumBits =   51849600; PAPR = 10.60; Prob = 0.019685 =       1126/     57200.
18-Oct-2022 14:26:28     NumSam =      58500; NumFr =   4500; NumBits =   53028000; PAPR = 10.60; Prob = 0.019761 =       1156/     58500.
18-Oct-2022 14:26:32     NumSam =      59800; NumFr =   4600; NumBits =   54206400; PAPR = 10.60; Prob = 0.019649 =       1175/     59800.
18-Oct-2022 14:26:36     NumSam =      61100; NumFr =   4700; NumBits =   55384800; PAPR = 10.60; Prob = 0.019771 =       1208/     61100.
18-Oct-2022 14:26:40     NumSam =      62400; NumFr =   4800; NumBits =   56563200; PAPR = 10.60; Prob = 0.019647 =       1226/     62400.
18-Oct-2022 14:26:44     NumSam =      63700; NumFr =   4900; NumBits =   57741600; PAPR = 10.60; Prob = 0.019655 =       1252/     63700.
18-Oct-2022 14:26:48     NumSam =      65000; NumFr =   5000; NumBits =   58920000; PAPR = 10.60; Prob = 0.019646 =       1277/     65000.
18-Oct-2022 14:26:52     NumSam =      66300; NumFr =   5100; NumBits =   60098400; PAPR = 10.70; Prob = 0.015128 =       1003/     66300.
18-Oct-2022 14:26:56     NumSam =      67600; NumFr =   5200; NumBits =   61276800; PAPR = 10.70; Prob = 0.015059 =       1018/     67600.
18-Oct-2022 14:27:00     NumSam =      68900; NumFr =   5300; NumBits =   62455200; PAPR = 10.70; Prob = 0.015051 =       1037/     68900.
18-Oct-2022 14:27:04     NumSam =      70200; NumFr =   5400; NumBits =   63633600; PAPR = 10.70; Prob = 0.015057 =       1057/     70200.
18-Oct-2022 14:27:08     NumSam =      71500; NumFr =   5500; NumBits =   64812000; PAPR = 10.70; Prob = 0.014993 =       1072/     71500.
18-Oct-2022 14:27:12     NumSam =      72800; NumFr =   5600; NumBits =   65990400; PAPR = 10.70; Prob = 0.015027 =       1094/     72800.
18-Oct-2022 14:27:16     NumSam =      74100; NumFr =   5700; NumBits =   67168800; PAPR = 10.70; Prob = 0.014980 =       1110/     74100.
18-Oct-2022 14:27:20     NumSam =      75400; NumFr =   5800; NumBits =   68347200; PAPR = 10.70; Prob = 0.015027 =       1133/     75400.
18-Oct-2022 14:27:24     NumSam =      76700; NumFr =   5900; NumBits =   69525600; PAPR = 10.70; Prob = 0.015124 =       1160/     76700.
18-Oct-2022 14:27:28     NumSam =      78000; NumFr =   6000; NumBits =   70704000; PAPR = 10.70; Prob = 0.015051 =       1174/     78000.
18-Oct-2022 14:27:32     NumSam =      79300; NumFr =   6100; NumBits =   71882400; PAPR = 10.70; Prob = 0.015095 =       1197/     79300.
18-Oct-2022 14:27:36     NumSam =      80600; NumFr =   6200; NumBits =   73060800; PAPR = 10.70; Prob = 0.015037 =       1212/     80600.
18-Oct-2022 14:27:40     NumSam =      81900; NumFr =   6300; NumBits =   74239200; PAPR = 10.70; Prob = 0.015018 =       1230/     81900.
18-Oct-2022 14:27:44     NumSam =      83200; NumFr =   6400; NumBits =   75417600; PAPR = 10.70; Prob = 0.015012 =       1249/     83200.
18-Oct-2022 14:27:48     NumSam =      84500; NumFr =   6500; NumBits =   76596000; PAPR = 10.70; Prob = 0.015018 =       1269/     84500.
18-Oct-2022 14:27:52     NumSam =      85800; NumFr =   6600; NumBits =   77774400; PAPR = 10.70; Prob = 0.015058 =       1292/     85800.
18-Oct-2022 14:27:56     NumSam =      87100; NumFr =   6700; NumBits =   78952800; PAPR = 10.80; Prob = 0.011527 =       1004/     87100.
18-Oct-2022 14:28:00     NumSam =      88400; NumFr =   6800; NumBits =   80131200; PAPR = 10.80; Prob = 0.011493 =       1016/     88400.
18-Oct-2022 14:28:04     NumSam =      89700; NumFr =   6900; NumBits =   81309600; PAPR = 10.80; Prob = 0.011472 =       1029/     89700.
18-Oct-2022 14:28:08     NumSam =      91000; NumFr =   7000; NumBits =   82488000; PAPR = 10.80; Prob = 0.011549 =       1051/     91000.
18-Oct-2022 14:28:12     NumSam =      92300; NumFr =   7100; NumBits =   83666400; PAPR = 10.80; Prob = 0.011549 =       1066/     92300.
18-Oct-2022 14:28:16     NumSam =      93600; NumFr =   7200; NumBits =   84844800; PAPR = 10.80; Prob = 0.011485 =       1075/     93600.
18-Oct-2022 14:28:20     NumSam =      94900; NumFr =   7300; NumBits =   86023200; PAPR = 10.80; Prob = 0.011475 =       1089/     94900.
18-Oct-2022 14:28:24     NumSam =      96200; NumFr =   7400; NumBits =   87201600; PAPR = 10.80; Prob = 0.011466 =       1103/     96200.
18-Oct-2022 14:28:28     NumSam =      97500; NumFr =   7500; NumBits =   88380000; PAPR = 10.80; Prob = 0.011456 =       1117/     97500.
18-Oct-2022 14:28:32     NumSam =      98800; NumFr =   7600; NumBits =   89558400; PAPR = 10.80; Prob = 0.011488 =       1135/     98800.
